step,GS_21441737_queue,GS_21441737_wait_time,GS_25954547_queue,GS_25954547_wait_time,GS_26752062_queue,GS_26752062_wait_time,GS_26753059_queue,GS_26753059_wait_time,GS_659394041_queue,GS_659394041_wait_time,cluster_262476527_26871569_311718989_3836987635_#3more_queue,cluster_262476527_26871569_311718989_3836987635_#3more_wait_time
0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
29,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
39,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
40,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0
41,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0
42,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0
43,0,0.0,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0
44,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0
45,0,0.0,0,0.0,0,0.0,0,0.0,1,8.0,0,0.0
46,0,0.0,0,0.0,0,0.0,1,1.0,1,9.0,0,0.0
47,0,0.0,0,0.0,0,0.0,1,2.0,1,10.0,0,0.0
48,0,0.0,0,0.0,0,0.0,1,3.0,1,11.0,0,0.0
49,0,0.0,0,0.0,0,0.0,1,4.0,2,13.0,0,0.0
50,0,0.0,0,0.0,0,0.0,1,5.0,2,15.0,0,0.0
51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0
57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.0
60,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.0
61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.0
62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.0
63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15.0
64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,17.0
65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,19.0
66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,21.0
67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,23.0
68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,25.0
69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,27.0
70,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,29.0
71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,31.0
72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.0
73,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,35.0
74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,38.0
75,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,41.0
76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,19.0
77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
80,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.0
84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.0
86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.0
87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,11.0
88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,13.0
89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,15.0
90,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,4,9.0
91,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,4,11.0
92,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,4,13.0
93,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,4,15.0
94,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,4,17.0
95,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,4,19.0
96,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,4,21.0
97,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,4,23.0
98,1,9.0,0,0.0,0,0.0,0,0.0,0,0.0,4,25.0
99,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,4,27.0
100,1,11.0,0,0.0,0,0.0,0,0.0,0,0.0,4,29.0
101,1,12.0,0,0.0,0,0.0,0,0.0,0,0.0,4,31.0
102,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,33.0
103,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,35.0
104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,37.0
105,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,39.0
106,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,41.0
107,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
108,0,0.0,0,0.0,1,2.0,0,0.0,0,0.0,0,0.0
109,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0,0,0.0
110,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
111,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,0,0.0
112,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,0,0.0
113,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,0,0.0
114,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0
115,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0,0,0.0
116,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0,0,0.0
117,0,0.0,0,0.0,0,0.0,1,8.0,0,0.0,0,0.0
118,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
119,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
120,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
123,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
124,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
125,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
126,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
127,1,4.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
128,1,5.0,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0
129,1,6.0,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0
130,1,7.0,0,0.0,0,0.0,0,0.0,1,4.0,1,1.0
131,1,8.0,0,0.0,0,0.0,1,1.0,1,5.0,2,3.0
132,0,0.0,0,0.0,0,0.0,1,2.0,1,6.0,2,5.0
133,1,1.0,0,0.0,0,0.0,1,3.0,2,7.0,2,7.0
134,1,2.0,0,0.0,0,0.0,1,4.0,1,8.0,0,0.0
135,1,3.0,0,0.0,0,0.0,1,5.0,1,9.0,0,0.0
136,1,4.0,0,0.0,0,0.0,1,6.0,1,10.0,0,0.0
137,2,6.0,0,0.0,0,0.0,1,7.0,1,11.0,0,0.0
138,2,8.0,0,0.0,0,0.0,1,8.0,1,12.0,0,0.0
139,2,10.0,0,0.0,0,0.0,1,9.0,1,13.0,0,0.0
140,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0
141,0,0.0,0,0.0,0,0.0,1,11.0,0,0.0,0,0.0
142,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0
144,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
145,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0
146,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,5.0
147,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0,1,6.0
148,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0,1,7.0
149,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0,1,8.0
150,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,9.0
151,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,1,10.0
152,0,0.0,0,0.0,0,0.0,2,4.0,0,0.0,1,11.0
153,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0
154,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0
155,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.0
156,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.0
157,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,2,18.0
158,0,0.0,0,0.0,0,0.0,1,2.0,1,1.0,2,20.0
159,0,0.0,0,0.0,0,0.0,1,3.0,1,2.0,2,22.0
160,0,0.0,0,0.0,0,0.0,1,4.0,1,3.0,2,24.0
161,0,0.0,0,0.0,0,0.0,1,5.0,1,4.0,2,26.0
162,0,0.0,0,0.0,0,0.0,1,6.0,1,5.0,2,28.0
163,0,0.0,0,0.0,0,0.0,0,0.0,1,6.0,2,30.0
164,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0,3,33.0
165,0,0.0,0,0.0,0,0.0,0,0.0,1,8.0,3,36.0
166,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0,3,39.0
167,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,3,42.0
168,0,0.0,0,0.0,0,0.0,0,0.0,1,11.0,3,45.0
169,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0,3,48.0
170,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0,3,51.0
171,0,0.0,0,0.0,0,0.0,0,0.0,1,14.0,1,8.0
172,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
173,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,11.0
174,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,13.0
175,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0
176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,17.0
177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,20.0
178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,23.0
179,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,26.0
180,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0
181,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.0
182,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.0
183,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,11.0
184,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,13.0
185,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0
186,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,17.0
187,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,3,19.0
188,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,3,21.0
189,2,5.0,0,0.0,0,0.0,0,0.0,0,0.0,3,23.0
190,2,7.0,0,0.0,0,0.0,0,0.0,0,0.0,3,25.0
191,2,9.0,0,0.0,0,0.0,0,0.0,0,0.0,3,27.0
192,2,11.0,0,0.0,0,0.0,0,0.0,0,0.0,3,29.0
193,2,13.0,0,0.0,0,0.0,0,0.0,0,0.0,3,31.0
194,2,15.0,0,0.0,0,0.0,0,0.0,1,1.0,4,33.0
195,2,17.0,0,0.0,0,0.0,0,0.0,1,2.0,4,35.0
196,2,19.0,0,0.0,0,0.0,0,0.0,1,3.0,4,37.0
197,2,21.0,0,0.0,0,0.0,0,0.0,1,4.0,5,40.0
198,2,23.0,0,0.0,0,0.0,0,0.0,1,5.0,5,43.0
199,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
200,1,12.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.0
201,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0
202,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.0
203,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0
204,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.0
205,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
206,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0
207,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.0
208,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0
209,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0
210,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.0
211,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,15.0
212,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.0
213,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,17.0
214,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,18.0
215,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,19.0
216,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0
217,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,21.0
218,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,1,22.0
219,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,23.0
220,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,1,24.0
221,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,2,26.0
222,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,2,28.0
223,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,2,30.0
224,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,32.0
225,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,34.0
226,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,36.0
227,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,39.0
228,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,42.0
229,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0
230,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
231,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
232,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
233,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0
234,1,2.0,0,0.0,0,0.0,1,1.0,0,0.0,1,2.0
235,1,3.0,0,0.0,0,0.0,1,2.0,0,0.0,1,3.0
236,2,5.0,0,0.0,0,0.0,1,3.0,0,0.0,1,4.0
237,2,7.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0
238,2,9.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.0
239,2,11.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0
240,2,13.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.0
241,2,15.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
242,2,17.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0
243,2,19.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.0
244,2,21.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0
245,2,23.0,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0
246,2,25.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15.0
247,2,27.0,0,0.0,0,0.0,0,0.0,0,0.0,3,18.0
248,2,29.0,0,0.0,0,0.0,0,0.0,0,0.0,3,21.0
249,2,31.0,0,0.0,0,0.0,0,0.0,0,0.0,3,24.0
250,2,33.0,0,0.0,0,0.0,0,0.0,0,0.0,3,27.0
251,2,35.0,0,0.0,0,0.0,0,0.0,0,0.0,3,30.0
252,3,38.0,0,0.0,0,0.0,0,0.0,0,0.0,3,33.0
253,3,41.0,0,0.0,0,0.0,0,0.0,0,0.0,3,36.0
254,3,44.0,0,0.0,0,0.0,0,0.0,0,0.0,3,39.0
255,3,47.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.0
256,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0
257,3,53.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.0
258,3,56.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.0
259,2,32.0,0,0.0,0,0.0,0,0.0,0,0.0,1,13.0
260,1,9.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.0
261,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,15.0
262,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.0
263,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,17.0
264,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,18.0
265,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,19.0
266,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,20.0
267,0,0.0,0,0.0,1,2.0,0,0.0,0,0.0,1,21.0
268,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,22.0
269,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,1,23.0
270,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,24.0
271,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0
272,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,26.0
273,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,27.0
274,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,28.0
275,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,29.0
276,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,31.0
277,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,3,34.0
278,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,3,37.0
279,0,0.0,0,0.0,0,0.0,1,2.0,0,0.0,3,40.0
280,0,0.0,0,0.0,0,0.0,1,3.0,0,0.0,4,44.0
281,0,0.0,0,0.0,0,0.0,1,4.0,0,0.0,4,48.0
282,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,4,52.0
283,0,0.0,0,0.0,0,0.0,1,6.0,0,0.0,4,56.0
284,0,0.0,0,0.0,0,0.0,1,7.0,0,0.0,4,60.0
285,0,0.0,0,0.0,1,1.0,1,8.0,0,0.0,3,25.0
286,0,0.0,0,0.0,1,2.0,1,9.0,0,0.0,2,21.0
287,0,0.0,1,1.0,1,3.0,1,10.0,1,1.0,2,23.0
288,0,0.0,2,3.0,1,4.0,1,11.0,1,2.0,2,25.0
289,0,0.0,2,5.0,1,5.0,1,12.0,1,3.0,2,27.0
290,0,0.0,2,7.0,1,6.0,0,0.0,0,0.0,2,29.0
291,0,0.0,0,0.0,1,7.0,0,0.0,0,0.0,2,31.0
292,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.0
293,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,36.0
294,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,39.0
295,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,42.0
296,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,46.0
297,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,50.0
298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,54.0
299,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,58.0
300,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,62.0
301,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,66.0
302,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,70.0
303,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,74.0
304,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,5,78.0
305,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,5,82.0
306,1,3.0,0,0.0,0,0.0,0,0.0,0,0.0,6,87.0
307,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,6,92.0
308,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,6,97.0
309,1,6.0,0,0.0,0,0.0,0,0.0,0,0.0,6,102.0
310,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,6,107.0
311,1,8.0,0,0.0,0,0.0,0,0.0,0,0.0,6,112.0
312,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,117.0
313,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,122.0
314,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,96.0
315,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,79.0
316,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,81.0
317,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,83.0
318,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,85.0
319,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,87.0
320,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,89.0
321,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,91.0
322,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,93.0
323,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,3,95.0
324,2,3.0,0,0.0,0,0.0,0,0.0,0,0.0,3,97.0
